journal	date	pmc_id	Nchars	Nwords	delve	analyse	acknowledge	assess	appraise	dissect	explore	examine	extricate	expose	estimate	investigate	inquire	inspect	interpret	scrutinise	study	unearth	uncover	understand	ponder	research	reason	retrieve	avoid	discount	disregard	dismiss	ignore	neglect	overlook	omit	skip	reject
Nat Commun	2022-01-01	8497548	107967	9398	0	1	4	0	0	1	0	3	0	0	1	2	0	0	0	0	9	0	0	3	0	0	0	0	0	0	0	0	0	0	1	1	0	0
Nat Commun	2022-01-01	8501087	153738	12760	0	7	0	0	0	0	2	0	0	0	0	6	0	1	0	0	17	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8494738	150418	14310	0	4	0	0	0	0	8	9	0	0	4	2	0	0	1	0	19	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8494927	195616	16497	0	10	1	1	0	0	3	0	0	5	3	2	0	0	0	0	19	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8494802	68074	6951	0	1	0	0	0	0	0	0	0	0	9	0	0	0	0	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8494928	12170	1140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Nat Commun	2022-01-01	8497557	182589	19274	0	13	5	5	0	0	0	0	0	3	3	1	0	1	1	6	66	0	0	3	0	0	0	0	0	0	2	2	0	1	1	0	0	0
Nat Commun	2022-01-01	8494881	69876	6947	0	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8494941	139121	14136	0	3	0	2	0	0	2	1	0	0	3	0	0	0	0	0	4	0	0	2	0	0	1	0	2	2	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8501045	141751	13330	0	2	0	0	0	0	5	4	0	1	0	0	0	0	0	0	26	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8492615	9682	624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8492701	153376	11868	0	8	1	0	0	0	0	8	0	0	6	6	0	0	0	0	25	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8494913	107101	9362	0	7	1	3	0	0	0	0	0	0	8	1	0	0	0	0	43	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8501084	94952	8737	0	1	6	0	0	0	1	0	0	0	0	3	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8494883	115923	11960	0	9	0	2	0	3	1	15	0	0	0	4	0	0	1	0	16	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8497571	135864	13332	0	12	1	2	0	0	0	1	0	0	0	4	0	1	0	0	6	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0
Nat Commun	2022-01-01	8501025	118941	10478	0	1	1	0	0	0	1	4	0	0	2	3	0	0	2	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8492760	87435	8034	0	11	1	0	0	0	0	0	0	0	4	0	0	0	0	0	10	0	0	10	0	0	0	0	0	0	3	0	0	1	0	0	0	0
Nat Commun	2022-01-01	8497570	435525	28640	0	19	0	1	0	0	1	1	0	0	10	1	0	0	1	0	15	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
Nat Commun	2022-01-01	8494922	122835	12652	0	24	1	8	0	0	0	0	0	1	0	4	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8497514	151606	11545	0	4	0	0	0	1	0	1	0	0	13	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8501058	135771	14910	0	4	0	3	0	0	0	0	0	0	5	3	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8497584	68660	2276	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8494900	109621	9194	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1
Nat Commun	2022-01-01	8492741	110531	9653	0	6	1	2	0	0	0	2	0	8	1	2	0	0	0	0	27	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8514480	87803	7462	0	1	0	0	0	0	4	4	0	0	0	6	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8511204	84370	7853	0	12	1	1	0	0	1	2	0	0	0	1	0	0	0	0	11	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Nat Commun	2022-01-01	8514514	99720	9574	0	15	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8516959	125974	13247	0	12	1	1	0	3	0	3	0	0	2	10	0	0	0	0	5	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8514453	223246	14354	0	11	0	1	0	0	1	4	0	2	59	0	0	0	2	0	9	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
Nat Commun	2022-01-01	8514469	88390	8535	0	10	0	0	0	0	3	0	0	4	6	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8519949	7008	496	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8516933	144135	16362	0	7	1	0	0	0	1	0	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8514430	8613	590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8517019	176630	14471	0	22	4	5	0	0	0	1	0	0	75	4	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
Nat Commun	2022-01-01	8516925	76626	6231	0	1	4	0	0	0	2	0	0	0	2	3	0	0	0	0	14	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8514546	110410	10846	0	2	0	1	0	0	2	2	0	7	1	1	0	0	0	0	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nat Commun	2022-01-01	8519947	126146	13026	0	9	0	1	0	0	0	0	0	0	6	6	0	0	0	0	36	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0
