journal	date	pmc_id	Nchars	Nwords	delve	analyse	acknowledge	assess	appraise	dissect	explore	examine	extricate	expose	estimate	investigate	inquire	inspect	interpret	scrutinise	study	unearth	uncover	understand	ponder	research	reason	retrieve	avoid	discount	disregard	dismiss	ignore	neglect	overlook	omit	skip	reject
PLoS One	2022-10-01	9269937	154444	14074	0	2	0	1	0	0	0	12	0	0	8	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9269978	122539	10685	0	8	0	3	0	0	1	1	0	0	12	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9269458	161390	15995	0	6	0	2	0	0	2	1	0	3	11	1	0	1	0	0	82	0	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9269903	139415	13216	0	10	0	8	0	0	2	0	0	0	3	5	0	0	0	0	75	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9269951	108323	9799	0	1	0	16	0	0	1	1	0	0	2	0	0	0	0	0	39	0	0	3	0	0	2	0	1	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9269434	152582	15407	0	7	0	0	0	0	2	0	0	0	2	6	0	0	1	0	23	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9269898	159487	17365	0	5	0	9	0	0	0	1	0	1	0	1	0	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9269877	236120	22067	0	9	0	5	0	0	0	1	0	1	1	7	0	0	1	0	74	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9269409	81193	6537	0	4	0	0	0	0	3	0	0	0	1	1	0	0	1	0	22	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9269977	191139	16218	0	2	1	1	0	0	0	4	0	0	0	0	0	0	2	0	121	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9269927	101989	8518	0	2	0	1	0	0	0	0	0	0	5	3	0	0	1	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9269410	87362	7108	0	3	0	1	0	0	0	1	0	0	3	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9269958	113233	9597	0	8	0	0	0	0	0	1	0	0	4	1	0	0	0	0	11	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9269412	125323	9554	0	22	1	2	0	1	1	1	0	0	2	2	0	0	0	0	106	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0
PLoS One	2022-10-01	9269873	171239	14444	0	1	0	4	0	0	5	1	0	0	1	0	0	0	0	0	62	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2
PLoS One	2022-10-01	9269767	180561	15997	0	1	0	0	0	0	0	0	0	0	12	2	0	2	0	0	38	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9269379	80177	6967	0	2	0	1	0	0	0	0	0	0	3	0	0	0	1	0	44	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9269881	230895	23837	0	21	1	10	0	0	0	6	0	0	80	2	0	0	3	0	131	0	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0
PLoS One	2022-10-01	9269910	223073	21478	0	6	0	3	0	0	1	1	0	0	33	1	0	0	4	1	60	0	0	3	0	1	8	1	0	0	0	0	2	1	0	0	0	0
PLoS One	2022-10-01	9269973	142018	10942	0	1	0	1	0	0	0	8	0	0	6	0	0	0	0	0	73	0	0	5	0	0	5	0	0	0	0	0	0	1	0	0	0	0
PLoS One	2022-10-01	9269870	190728	18530	0	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	3
PLoS One	2022-10-01	9269907	85767	6825	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9269949	142652	13723	0	22	0	0	0	0	6	0	0	0	2	2	0	0	0	0	53	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9269915	95114	8031	0	4	0	0	0	0	6	0	0	6	0	0	0	0	0	0	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9269925	173838	16486	0	10	0	4	0	0	1	2	0	0	2	4	0	0	0	0	79	0	0	5	0	0	3	0	1	0	0	0	0	0	1	0	0	0
PLoS One	2022-10-01	9282447	190550	19427	0	16	0	19	0	0	0	1	0	0	6	7	0	0	2	0	78	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9282539	138964	13016	0	6	0	0	1	0	12	2	0	0	2	2	0	0	3	0	53	0	0	9	0	0	4	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9286255	96125	7618	0	6	0	8	0	0	2	1	0	1	2	0	0	0	0	0	31	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9286289	98516	9223	0	13	0	1	0	0	0	16	0	0	15	3	0	0	0	0	37	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9286263	95391	8048	0	6	0	2	0	0	1	0	0	0	1	0	0	0	1	0	26	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9282597	114129	11397	0	1	1	2	0	0	7	11	0	0	1	4	0	0	1	0	15	0	0	4	0	0	1	0	0	0	0	0	0	0	0	1	0	0
PLoS One	2022-10-01	9282440	148929	17169	0	28	1	6	0	0	0	11	0	0	44	5	0	0	2	1	13	0	0	1	0	0	0	0	0	0	2	0	1	0	1	2	0	1
PLoS One	2022-10-01	9286268	75361	7203	0	7	0	2	0	0	0	1	0	0	1	2	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PLoS One	2022-10-01	9286231	145937	12435	0	8	0	1	0	0	1	10	0	0	6	1	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9286239	103178	7886	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9286262	301379	23329	0	4	1	5	0	0	3	1	0	0	1	4	0	0	0	0	203	0	0	3	0	0	2	1	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9282534	105917	9292	0	3	4	9	0	0	4	1	0	0	0	3	0	0	0	0	39	0	0	5	0	1	2	0	1	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9286292	196305	16439	0	3	0	0	0	1	0	5	0	1	0	0	0	0	1	0	88	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9286276	178626	15993	0	4	0	0	0	0	1	0	0	1	0	4	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
PLoS One	2022-10-01	9286221	148610	14802	0	2	0	1	0	0	1	7	0	6	0	8	0	0	1	0	69	0	0	2	0	2	4	0	0	2	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9286293	178214	14725	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9282595	260019	18490	0	3	0	3	0	0	2	4	0	0	1	2	0	0	0	0	84	0	0	0	0	0	1	1	0	0	0	0	1	0	0	2	0	0
PLoS One	2022-10-01	9282613	107580	8450	0	2	0	0	0	0	3	0	0	0	1	1	0	0	0	0	18	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0
PLoS One	2022-10-01	9286286	163511	11745	0	3	5	5	3	0	0	6	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PLoS One	2022-10-01	9286236	112117	9596	0	5	0	5	0	0	4	0	0	1	17	0	0	0	0	0	32	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9286277	131634	12490	0	9	0	4	0	0	1	4	0	0	0	1	0	0	0	0	29	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9286256	104580	8797	0	3	0	2	0	0	0	0	0	0	0	3	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9286275	111832	8746	0	1	0	10	0	0	0	0	0	0	0	4	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9286242	178519	17081	0	3	1	1	0	0	1	0	0	0	2	0	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9286266	649365	41171	0	5	0	10	2	0	4	1	0	0	11	1	0	0	0	0	73	0	1	2	0	0	1	2	2	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9302807	90065	7924	0	6	0	1	0	0	0	0	0	0	0	1	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9302749	112441	9432	0	12	0	0	0	0	2	0	0	0	2	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9307172	88981	7509	0	6	1	6	0	0	0	0	0	3	0	0	0	0	0	0	33	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9302850	102506	8957	0	6	0	3	0	0	0	0	0	0	2	1	0	0	0	0	17	0	0	13	0	0	1	0	1	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9307152	83399	6781	0	1	0	4	0	0	3	0	0	1	4	2	0	0	0	0	29	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9302826	120025	11006	0	5	1	4	0	0	0	4	0	0	3	2	0	0	0	0	54	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9307279	97112	7937	0	3	0	3	0	0	1	0	0	0	8	0	0	0	0	0	22	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9302818	178028	14857	0	11	0	3	0	0	3	2	0	1	0	3	0	0	0	0	64	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9302829	76963	6184	0	9	1	0	0	0	0	0	0	1	0	1	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9302761	221679	15098	0	10	1	1	0	0	0	2	0	0	29	1	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	16	4	0	0	0	3
PLoS One	2022-10-01	9307198	102135	8748	0	6	0	2	1	0	8	0	0	0	0	0	0	0	1	0	100	0	1	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9302813	150369	13282	0	10	0	0	0	0	5	0	0	1	0	4	0	0	0	0	25	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9307191	99808	9825	0	7	0	0	0	0	0	0	0	0	9	0	0	0	0	0	20	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9302808	127871	9899	0	2	0	0	0	0	0	0	0	2	1	0	0	0	1	0	25	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9307212	235946	12764	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9302856	82539	8372	0	1	0	1	1	0	2	0	0	2	0	0	0	0	0	0	40	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9307197	341983	18871	0	1	0	1	0	0	3	2	0	0	76	3	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4
PLoS One	2022-10-01	9307176	65828	6362	0	3	0	1	0	0	0	2	0	0	0	3	0	0	1	0	8	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9307188	186550	16444	0	0	0	2	0	0	2	1	0	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9302786	100005	10793	0	5	2	2	0	0	4	7	0	0	0	2	0	0	0	0	55	0	0	9	0	0	2	1	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9307181	128705	12309	0	6	2	4	0	0	4	3	0	0	0	4	0	0	0	0	69	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9334024	235719	16514	0	2	1	1	0	0	3	0	0	1	0	6	0	0	0	0	27	0	0	1	0	2	0	0	1	0	0	0	1	1	0	0	0	0
PLoS One	2022-10-01	9307151	130149	10867	0	9	2	13	0	0	1	0	0	0	4	10	0	0	1	0	76	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9307159	177063	16841	0	2	0	0	0	0	2	9	0	0	11	0	0	0	0	0	8	0	0	1	0	0	2	0	0	0	0	0	0	0	1	0	0	0
PLoS One	2022-10-01	9307169	126143	12708	0	17	0	12	0	0	0	4	0	0	6	0	0	0	0	0	54	0	0	1	0	0	1	0	6	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9342718	113892	9853	0	2	0	3	0	0	0	0	0	0	9	0	0	0	0	0	28	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9337651	95386	7285	0	5	0	4	0	0	0	0	0	0	3	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PLoS One	2022-10-01	9342780	94941	9122	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	30	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9337682	143085	10957	0	2	0	2	0	0	0	8	0	1	7	8	0	0	0	1	40	0	0	3	0	0	0	0	1	1	0	0	1	0	0	0	0	0
PLoS One	2022-10-01	9337695	155132	13278	0	4	1	1	0	0	3	3	0	0	15	0	0	0	0	0	39	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9337664	159702	13546	0	3	0	3	0	0	0	0	0	0	0	4	0	0	0	0	55	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PLoS One	2022-10-01	9342751	128052	12694	1	6	0	1	0	0	5	3	0	1	1	1	0	0	1	0	22	0	0	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2022-10-01	9342777	130917	10131	0	2	0	3	0	0	0	10	0	0	10	7	0	0	0	0	22	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
