journal	date	pmc_id	Nchars	Nwords	delve	analyse	acknowledge	assess	appraise	dissect	explore	examine	extricate	expose	estimate	investigate	inquire	inspect	interpret	scrutinise	study	unearth	uncover	understand	ponder	research	reason	retrieve	avoid	discount	disregard	dismiss	ignore	neglect	overlook	omit	skip	reject
PLoS One	2023-04-01	9821721	219336	20708	0	15	0	1	0	0	1	2	0	1	0	3	0	0	2	0	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9821460	106194	9099	0	1	0	3	0	0	0	10	0	0	2	10	0	0	0	0	40	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9821787	103555	8948	0	9	0	4	0	0	0	0	0	0	1	0	0	0	0	0	94	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9815632	191784	17897	0	28	1	1	0	0	2	2	0	0	2	6	0	0	2	1	69	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	0	1
PLoS One	2023-04-01	9821785	134061	12811	0	4	4	0	0	1	5	1	0	0	0	10	0	0	2	0	42	0	0	23	0	1	0	0	1	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9821520	286682	22124	1	4	0	7	0	0	5	14	0	1	2	27	0	0	0	0	89	0	0	13	0	0	2	5	0	0	0	0	0	3	3	0	0	0
PLoS One	2023-04-01	9821718	80731	6216	0	1	0	2	0	0	1	0	0	0	0	4	0	0	1	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9821421	235409	18886	0	5	0	2	0	0	2	8	0	0	4	0	0	0	0	0	73	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9821510	185716	14036	0	8	0	2	0	0	2	4	0	1	1	6	0	0	0	0	37	0	0	4	0	0	0	3	0	0	0	0	1	0	0	0	0	0
PLoS One	2023-04-01	9821489	259874	31448	0	17	0	2	0	0	1	1	0	6	20	0	0	0	0	0	173	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9821496	61482	4512	0	4	0	0	0	0	0	1	0	0	1	1	0	0	1	0	51	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9821722	98362	9603	0	3	0	2	0	0	0	0	0	0	1	0	0	0	0	0	34	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9821458	116456	10487	0	4	0	0	0	0	0	6	0	0	0	0	0	0	1	0	38	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9821420	125209	10761	0	3	0	3	0	0	2	2	0	1	4	5	2	0	0	0	31	0	0	5	0	2	2	0	1	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9821469	90218	7451	0	2	0	0	0	1	3	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9821473	164401	15917	0	4	0	0	0	1	0	0	0	1	6	1	0	0	0	0	33	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9821457	147867	12495	0	4	0	4	0	0	3	0	0	0	0	2	0	0	1	0	23	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	3
PLoS One	2023-04-01	9815754	7276	584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9821461	99483	9160	0	2	0	5	0	0	0	1	0	0	3	2	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9821735	188961	20569	0	12	0	0	0	0	1	3	0	0	4	2	0	0	0	0	63	0	0	6	0	0	0	1	2	0	0	0	0	1	0	0	0	0
PLoS One	2023-04-01	9821487	157969	15525	0	4	0	0	0	0	0	0	0	0	1	1	0	0	0	0	52	0	0	3	0	0	3	1	0	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9821480	180243	15943	0	10	1	0	0	0	0	6	0	0	0	0	0	0	0	0	69	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9815568	133579	11795	0	1	1	10	0	0	2	0	0	1	1	0	0	0	0	0	56	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9821783	97830	8965	0	5	1	3	0	0	0	1	0	0	2	1	0	0	0	0	47	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9821485	105457	8924	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	0	50	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9836267	116416	9307	0	7	1	0	0	0	2	0	0	0	0	1	0	0	0	0	22	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9833521	74247	6021	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	32	0	0	2	0	0	0	0	7	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9833506	170811	19697	0	1	2	5	0	0	0	3	0	0	28	0	0	3	0	0	21	0	0	4	0	0	0	0	3	0	0	0	1	1	0	0	0	0
PLoS One	2023-04-01	9838851	93832	6399	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	58	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
PLoS One	2023-04-01	9838827	235240	24775	0	37	0	7	0	0	4	10	0	0	1	6	0	0	9	0	52	0	2	3	0	0	0	0	1	0	0	0	5	2	1	0	0	0
PLoS One	2023-04-01	9836308	193805	15312	0	6	0	9	0	0	0	2	0	0	0	5	0	0	0	0	51	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
