journal	date	n
PLoS One	2024-10-01	4073
Cells	2024-10-01	505
Sci Rep	2024-10-01	7801
Elife	2024-10-01	367
Nat Commun	2024-10-01	2979
Life	2025-01-01	497
Front Cell Dev Biol	2025-01-01	197
Sci Adv	2025-01-01	614
PeerJ	2025-01-01	551
BMJ Open	2025-01-01	1107
IJMS	2025-01-01	3457
Heliyon	2025-01-01	2718
Front Neurosci	2025-01-01	247
PLoS One	2025-01-01	4537
Cells	2025-01-01	535
Sci Rep	2025-01-01	9317
Elife	2025-01-01	478
Nat Commun	2025-01-01	2428
